id;def;matk;atk;sta;c_res;price;shoes;pants;gloves;armor;helm;
18;8558;0;2404;10;83;134,30; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
19;8230;0;2398;0;83;153,50; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Noblesse Pants 2*, Tutelary Sentinel]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
20;8420;0;2398;5;84;136,90; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Heremon Pants 2*, Tutelary Sentinel]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
21;8394;0;2398;5;85;136,90; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Heremon Pants 2*, Tutelary Sentinel]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
22;8395;0;2398;5;84;136,90; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Noblesse Pants 2*, Tutelary Sentinel]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
23;8420;0;2398;5;84;136,90; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
24;8394;0;2398;5;85;136,90; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
25;8395;0;2398;5;84;136,90; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
26;8587;0;2395;15;83;124,70; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
27;8561;0;2395;15;84;124,70; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
28;8562;0;2395;15;83;124,70; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
29;8510;0;2395;5;85;136,90; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
