id;def;matk;atk;sta;c_res;price;shoes;pants;gloves;armor;helm;
14;8930;54;2078;10;82;173,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Sentinel]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
15;8925;44;2117;15;80;170,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
16;8925;44;2119;15;79;170,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
17;8920;44;2166;15;78;184,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Armageddon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
18;8918;44;2173;15;77;184,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
19;8917;36;2280;20;80;169,10; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
20;8914;44;2189;20;78;182,10; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
21;8910;36;2182;15;83;150,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
22;8907;44;2094;10;81;173,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
23;8907;44;2096;10;80;173,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
24;8906;44;2094;10;80;173,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Armageddon Gloves 2*, Tutelary Sentinel]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
25;8905;36;2181;20;81;162,10; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
26;8903;36;2133;15;82;157,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
27;8899;36;2151;20;82;155,10; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
28;8899;44;2150;10;79;187,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
29;8898;52;2092;15;76;190,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
