id;def;matk;atk;sta;c_res;price;shoes;pants;gloves;armor;helm;
10;7471;0;2374;0;83;139,50; [+0 Heremon Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Heremon Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
11;7426;16;2364;0;77;179,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Armageddon Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Armageddon Helm 2*, Tutelary Sentinel];
12;7423;16;2364;0;79;179,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Armageddon Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Armageddon Helm 2*, Tutelary Sentinel];
13;7448;16;2364;0;77;179,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Armageddon Pants 2*, Tutelary Sentinel]; [+0 Armageddon Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
14;7403;16;2364;0;78;179,50; [+0 Armageddon Shoes 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Armageddon Helm 2*, Tutelary Sentinel];
15;7428;16;2364;0;76;179,50; [+0 Armageddon Shoes 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Armageddon Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
16;7425;16;2364;0;78;179,50; [+0 Armageddon Shoes 2*, Tutelary Sentinel]; [+0 Armageddon Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
17;7476;16;2363;0;78;179,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Armageddon Armor 2*, Tutelary Sentinel]; [+0 Armageddon Helm 2*, Tutelary Sentinel];
18;7501;16;2363;0;76;179,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Armageddon Gloves 2*, Tutelary Sentinel]; [+0 Armageddon Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
19;7498;16;2363;0;78;179,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Armageddon Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Armageddon Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
20;7478;16;2363;0;77;179,50; [+0 Armageddon Shoes 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Armageddon Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
21;5143;0;2360;0;72;92,95; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Raiders Gloves 3*,  ]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Raiders Helm 3*,  ];
22;7427;0;2356;0;85;132,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Heremon Pants 2*, Tutelary Sentinel]; [+0 Heremon Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Heremon Helmet 2*, Tutelary Sentinel];
23;5353;0;2354;0;72;93,05; [+0 Raiders Shoes 3*,  ]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Raiders Gloves 3*,  ]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
24;7502;0;2353;0;85;132,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Heremon Pants 2*, Tutelary Sentinel]; [+0 Heremon Gloves 2*, Tutelary Sentinel]; [+0 Heremon Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
25;7476;0;2353;0;86;132,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Heremon Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Heremon Armor 2*, Tutelary Sentinel]; [+0 Heremon Helmet 2*, Tutelary Sentinel];
26;7477;0;2353;0;85;132,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Heremon Gloves 2*, Tutelary Sentinel]; [+0 Heremon Armor 2*, Tutelary Sentinel]; [+0 Heremon Helmet 2*, Tutelary Sentinel];
27;7520;24;2353;0;75;192,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Armageddon Pants 2*, Tutelary Sentinel]; [+0 Armageddon Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Armageddon Helm 2*, Tutelary Sentinel];
28;7500;24;2353;0;74;192,50; [+0 Armageddon Shoes 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Armageddon Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Armageddon Helm 2*, Tutelary Sentinel];
29;7497;24;2353;0;76;192,50; [+0 Armageddon Shoes 2*, Tutelary Sentinel]; [+0 Armageddon Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Armageddon Helm 2*, Tutelary Sentinel];
